2025-06-23 14:24:09 | INFO | root | test_add_to_cart.py:23 | Starting test for user: standard_user
2025-06-23 14:24:11 | INFO | root | test_add_to_cart.py:31 | Login successful.
2025-06-23 14:24:11 | INFO | root | test_add_to_cart.py:33 | Adding all items to the cart.
2025-06-23 14:24:11 | INFO | root | test_add_to_cart.py:35 | Items added: ['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)']
2025-06-23 14:24:11 | INFO | root | test_add_to_cart.py:38 | Navigating to cart page.
2025-06-23 14:24:11 | INFO | root | test_add_to_cart.py:40 | Cart page loaded successfully.
2025-06-23 14:24:11 | INFO | root | test_add_to_cart.py:42 | Removing 2 items from the cart.
2025-06-23 14:24:13 | INFO | root | test_add_to_cart.py:44 | Items removed: ['Sauce Labs Backpack', 'Sauce Labs Bike Light']
2025-06-23 14:24:13 | INFO | root | test_add_to_cart.py:48 | Remaining items in cart: ['Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)']
2025-06-23 14:24:13 | INFO | root | test_add_to_cart.py:57 | Test completed successfully.
2025-06-23 14:24:17 | INFO | root | test_checkout_items.py:35 | Starting test for user: standard_user
2025-06-23 14:24:19 | INFO | root | test_checkout_items.py:43 | Login successful.
2025-06-23 14:24:19 | INFO | root | test_checkout_items.py:45 | Adding all items to the cart.
2025-06-23 14:24:19 | INFO | root | test_checkout_items.py:47 | Items added: ['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)']
2025-06-23 14:24:19 | INFO | root | test_checkout_items.py:50 | Navigating to cart page.
2025-06-23 14:24:20 | INFO | root | test_checkout_items.py:52 | Cart page loaded successfully.
2025-06-23 14:24:20 | INFO | root | test_checkout_items.py:54 | Removing 2 items from the cart.
2025-06-23 14:24:21 | INFO | root | test_checkout_items.py:56 | Items removed: ['Sauce Labs Backpack', 'Sauce Labs Bike Light']
2025-06-23 14:24:21 | INFO | root | test_checkout_items.py:60 | Remaining items in cart: ['Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)']
2025-06-23 14:24:21 | INFO | root | test_checkout_items.py:69 | Proceeding to checkout with random data.
2025-06-23 14:24:21 | INFO | root | test_checkout_items.py:86 | Checkout completed successfully with: cnSSqM TgQQTr, 36468
2025-06-23 14:24:27 | INFO | root | test_login_page.py:43 | === Testing invalid login for user: standa123rd_user ===
2025-06-23 14:24:28 | INFO | root | test_login_page.py:52 | Proper error shown for invalid user: standa123rd_user
2025-06-23 14:24:28 | INFO | root | test_login_page.py:43 | === Testing invalid login for user: loc34ked_out_user ===
2025-06-23 14:24:28 | INFO | root | test_login_page.py:52 | Proper error shown for invalid user: loc34ked_out_user
2025-06-23 14:24:28 | INFO | root | test_login_page.py:43 | === Testing invalid login for user: problem_uerser ===
